SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5914.55,5914.55,5700.05,5715.65,5715.65,5881.35,1963,6986,40551792,
500003,"AEGIS LOGISTICS LTD.",A,STK,693.3,697.55,678,681.35,678,693.2,725,8316,5713612,
500008,"Amara Raja Energy & Mobility L",A,STK,860,860,842.6,847,847,853.7,732,13580,11560464,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,27.19,27.95,26.32,26.58,26.5,27.49,365,92879,2498441,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,43.11,44.08,42.9,43.02,42.9,43.31,227,28867,1255620,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.59,3.59,3.59,3.59,3.59,3.52,4,4238,15214,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.5,4.65,4.32,4.59,4.59,4.65,60,8253,37034,
500016,"ARUNA HOTELS LTD.",X,STK,8.55,8.55,8.01,8.02,8.02,8.39,63,5648,45665,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,118.45,120.95,116,116.6,116.6,120.15,494,20702,2445807,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,300.5,302.9,297.1,299.35,301,302.1,84,2577,775483,
500027,"ATUL LTD.",A,STK,6625,6657,6566.8,6601.35,6566.8,6633.9,117,332,2196627,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35,35.94,34.01,34.17,34.01,35.15,94,19279,671112,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,384.9,391.9,381.7,383.35,388,383.9,259,4618,1780662,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,16.3,16.3,15.79,15.83,15.83,16.23,795,272041,4339255,
500033,"FORCE MOTORS LTD.",A,STK,25211,25925,23851.35,24124.05,24124.05,25210.05,2457,7195,178204901,
500034,"BAJAJ FINANCE LIMITED",A,STK,1023.9,1024.5,1007.75,1014.25,1014.25,1023.8,4723,128686,130872515,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,467.05,467.2,455,456.75,456,467.6,384,11120,5116182,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,678.95,678.95,647.45,649.7,649.7,659.6,630,8691,5771854,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1373,1373,1300,1348.35,1321,1372.45,2262,22293,29596729,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3588.8,3588.8,3588.55,3588.75,3588.55,3588.8,5,7,25121,
500042,"BASF INDIA LTD.",A,STK,3660.8,3660.8,3540,3550.9,3540,3665.95,278,1336,4808522,
500043,"BATA INDIA LTD.",A,STK,837.05,837.9,823.4,825.6,823.4,836.2,540,4039,3353809,
500048,"BEML LTD.",A,STK,1764,1782.1,1714,1721.3,1721.3,1766,1343,10288,18028770,
500049,"BHARAT ELECTRONICS LTD.",A,STK,448,449.1,433,435.55,435.55,447.65,16614,480869,212217468,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,84.1,86.08,84,84.33,84.61,85.85,153,5563,471959,
500058,"BIHAR SPONGE IRON LTD.",X,STK,14.22,15.38,13.4,13.76,13.76,14.66,660,183687,2622832,
500059,"BIL VYAPAR LIMITED",T,STK,7.15,7.15,7.15,7.15,7.15,7.1,1,25,178,
500060,"Birla Cable Limited",B,STK,146.5,146.5,140.6,141.05,142,146,70,1298,186706,
500067,"BLUE STAR LTD.",A,STK,2029.9,2029.9,1956.2,1969.55,1969.55,2017.9,2129,12527,24891811,
500068,"DISA INDIA LTD.",B,STK,12053,12078,11665,11792.6,11792.6,12112.7,202,343,4046527,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,280.1,286.95,275.1,281.9,281.9,280.15,31,979,275273,
500074,"BPL LTD.",B,STK,56.08,57.1,56.08,56.58,56.23,56.77,230,4666,264675,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,280.35,285.2,277.3,277.5,277.55,284.15,93,6631,1872305,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,21.3,21.94,21.25,21.25,21.35,21.41,79,2595,55494,
500084,"CESC LTD.",A,STK,154.3,155,150.6,151.65,151.65,154,757,50394,7666891,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,460.45,461.8,449.45,458.45,454.4,458.9,1661,44796,20453464,
500086,"EXIDE INDUSTRIES LTD.",A,STK,341.15,343.05,331.25,333.35,333,341.45,1220,32356,10916546,
500087,"CIPLA LTD.",A,STK,1348.05,1357.45,1324.15,1329.05,1329.9,1349.1,1282,15463,20761675,
500089,"DIC INDIA LTD.",B,STK,540.2,559.3,540.2,546.35,545.95,549,30,284,155740,
500092,"CRISIL LTD.",A,STK,4531,4543.3,4491,4523.75,4515.15,4552.45,269,954,4302344,
500093,"CG Power and Industrial Soluti",A,STK,710,719.35,693.15,696.3,696.3,710.75,5574,149807,105877227,
500096,"DABUR INDIA LTD.",A,STK,510.6,514.25,500,501.6,501.6,510.7,1423,32855,16659949,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,290.9,291.2,284,284.9,284,290.85,93,990,284539,
500101,"ARVIND LTD.",A,STK,375.2,377.15,363.35,365.4,365.4,377.15,921,21319,7871960,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,259.65,259.65,252.05,254.05,254.05,261.05,5221,472387,121177502,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,452.1,453,431.2,434.7,434.7,457.35,4179,112971,50035743,
500106,"IFCI LTD.",A,STK,62.76,64.3,60.64,61.49,61.49,62.61,5517,1617075,101642634,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,31.05,31.45,30.4,30.54,30.54,31.06,313,37477,1155766,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,192.05,198.4,191.3,193.75,193.75,190.15,9919,1147515,224532292,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,910,924,888,894.55,894.55,908.85,2936,61746,56164254,
500112,"STATE BANK OF INDIA",A,STK,1222,1225,1199.55,1207,1207,1219.45,31783,840062,1017669467,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,160.5,161.7,155,155.8,155.8,159.1,2806,359498,56921883,
500114,"TITAN COMPANY LIMITED",A,STK,4237.9,4261.7,4189.6,4197.25,4201.65,4248.1,1221,9000,38049025,
500116,"IDBI BANK LTD.",A,STK,113.45,113.52,110.03,110.54,110.54,113.44,5626,1427833,159643499,
500117,"DCW LTD.",B,STK,52.6,52.78,50.77,50.84,50.77,52.51,427,41643,2143974,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,120,120,115,115.4,115.55,117.2,91,4416,510015,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,239.25,241,237.2,238.1,241,239.25,9,1172,278482,
500123,"ELANTAS BECK INDIA LTD.",B,STK,9389.95,9460,9055.95,9217.8,9217.8,9368.45,569,1033,9544077,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1292.7,1297,1276.1,1279.75,1279.75,1280.85,3800,50939,65595862,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,909.05,914,891.1,895.75,896.05,909.8,767,23160,20752065,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,5015.3,5059.9,4995,5017.45,5011.5,5015.25,151,382,1921865,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,75.81,75.81,70.12,71.2,71.77,74.06,576,44712,3219115,
500133,"ESAB INDIA LTD.",A,STK,5486.35,5524.6,5470,5500,5492,5532.3,521,412180,2267001172,
500135,"EPL LIMITED",A,STK,218,219.75,214,214.75,215,217.95,313,12418,2683112,
500136,"ESTER INDUSTRIES LTD.",B,STK,97,109.24,96.8,102.56,102.05,96.9,248,9524,1011235,
500142,"FGP LTD.",X,STK,9.45,10.5,9.12,9.94,9.19,9.12,29,2568,25194,
500143,"PH CAPITAL LTD.",XT,STK,580,580,569.55,569.55,569.55,581.15,25,4309,2475455,
500144,"FINOLEX CABLES LTD.",A,STK,820.6,821,796.6,801.2,801.2,820.1,1068,14184,11481369,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,5085.1,5085.1,4820,4862,4862,5045.15,355,2309,11358329,
