SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5883.7,5940,5807,5835.2,5818.9,5889.15,2100,9577,56250097,
500003,"AEGIS LOGISTICS LTD.",A,STK,703.35,704.95,688.85,696.75,697.9,703.35,977,11249,7808623,
500008,"Amara Raja Energy & Mobility L",A,STK,836.4,845.75,835,843.95,843.95,836.35,1681,30027,25277008,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,28.3,28.3,27.01,27.3,27.35,28,244,40458,1118583,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,42.49,42.95,41.5,42.64,42.52,42.05,244,56150,2377617,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.46,3.46,3.46,3.46,3.46,3.4,8,15005,51917,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.61,4.7,4.56,4.66,4.66,4.61,57,17938,83001,
500016,"ARUNA HOTELS LTD.",X,STK,8.44,8.44,7.75,8.16,8.16,8.2,46,4493,36437,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,116.8,121.05,116.45,119.6,119.45,116.8,589,38710,4631322,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,294.7,308.4,291.7,296.45,296.45,286.5,462,5952,1775546,
500027,"ATUL LTD.",A,STK,6533.4,6720,6522.7,6639.35,6639.35,6546.7,286,593,3935573,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35.1,36,34.44,35.22,35.5,35.1,96,7395,261246,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,382,385.35,377.1,384.75,383,378.9,442,5364,2050766,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,16.04,16.6,16.04,16.42,16.42,16.27,518,180283,2946523,
500033,"FORCE MOTORS LTD.",A,STK,24580.35,25950,24330,25807.85,25807.85,24580.35,3072,8198,206318702,
500034,"BAJAJ FINANCE LIMITED",A,STK,1010.05,1015.35,1004,1013.85,1011.3,1012.8,3868,116577,117741358,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,464.6,471.35,461.2,470.1,468.8,466.9,532,11067,5170182,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,649.4,668.35,649.4,657,655.5,649.95,732,12150,8022985,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1380.9,1402.95,1377.8,1385.8,1380,1386.55,530,5668,7882840,
500042,"BASF INDIA LTD.",A,STK,3634.5,3701.7,3634,3652.85,3652.85,3633.6,321,867,3179009,
500043,"BATA INDIA LTD.",A,STK,829,842.35,824,838.65,839.05,829,871,11936,9969185,
500048,"BEML LTD.",A,STK,1712,1742.25,1712,1736.65,1736.5,1721.25,1294,15147,26242882,
500049,"BHARAT ELECTRONICS LTD.",A,STK,441.05,449.3,440.25,446.9,446.9,438.05,19157,1469010,653546475,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,84.79,87.98,84.67,87.25,87.25,84.75,343,21594,1878564,
500058,"BIHAR SPONGE IRON LTD.",X,STK,15.88,16.66,14.49,16.03,15.96,15.01,735,345349,5475999,
500059,"BIL VYAPAR LIMITED",T,STK,7.06,7.34,7,7.08,7,7.36,6,3170,22446,
500060,"Birla Cable Limited",B,STK,138.5,151.85,138.5,149.4,146.95,136.25,405,7940,1149999,
500067,"BLUE STAR LTD.",A,STK,1974.7,2006.45,1974.7,2001.55,1999.7,1974.65,1271,7957,15876105,
500068,"DISA INDIA LTD.",B,STK,12420,12700,12085.3,12200.6,12240,12099.35,205,457,5644097,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,280.45,288,280,280,280,279.1,60,3008,850938,
500074,"BPL LTD.",B,STK,57.67,58.74,56.1,57.02,57.02,57.1,44,1049,60545,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,279.45,290.4,279.45,288.05,287.35,282.1,111,9560,2711841,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,21.75,22.41,21.69,21.72,21.7,21.78,54,4343,94446,
500084,"CESC LTD.",A,STK,153.8,156,153.8,155.7,155.3,153.75,798,64563,10023559,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,446.55,457,445.35,453.8,454.4,447.55,906,29925,13517431,
500086,"EXIDE INDUSTRIES LTD.",A,STK,341.15,343.8,340.1,341.25,341.25,340.95,2377,76879,26257167,
500087,"CIPLA LTD.",A,STK,1356,1356,1340,1343.35,1343.6,1355.8,2320,49147,66196189,
500089,"DIC INDIA LTD.",B,STK,549.05,555.7,539.4,551.05,549.5,553.75,240,999,549112,
500092,"CRISIL LTD.",A,STK,4532,4627.35,4524.05,4593.8,4589.1,4592.4,438,1615,7381791,
500093,"CG Power and Industrial Soluti",A,STK,688,696,684.6,690.05,690.05,688.8,3328,122847,84679178,
500096,"DABUR INDIA LTD.",A,STK,511.05,518.85,511.05,516.75,515.65,514.45,1072,24613,12709560,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,292,303,291.6,295.8,294.35,292.6,175,3648,1087105,
500101,"ARVIND LTD.",A,STK,376.9,384.7,373.4,379.2,378.2,376.9,682,24402,9256775,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,262.5,265.1,261,262.8,262.8,262.5,4363,501718,132060228,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,452.45,455.2,444.3,454.3,454.3,451.9,1228,45484,20440220,
500106,"IFCI LTD.",A,STK,62.22,64.39,61.85,63.44,63.44,62.31,9832,3089996,196606437,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,30.5,31.68,30.45,31.27,31.27,31.02,272,62472,1961714,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,186.2,194.2,184.95,192.55,192.55,186,4854,588789,112098331,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,895.95,895.95,870.65,886.8,886.8,887.95,874,13687,12096999,
500112,"STATE BANK OF INDIA",A,STK,1207.95,1225.5,1203.45,1213.25,1213.25,1207.9,21703,922231,1122278161,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,159,159,154,157.35,157.25,159.55,5107,678432,106076565,
500114,"TITAN COMPANY LIMITED",A,STK,4155.1,4240.95,4155.1,4236.45,4236.45,4179,1661,13518,57044452,
